Question_Number,Domain,Question_Text,Your_Answer,Correct_Answer,Is_Correct,Confidence,Flagged,Your_Notes,Explanation,Time_Elapsed_Seconds
1,Design Secure Architectures,"A company needs to allow an EC2 instance in a private subnet to download patches from the internet without exposing it to inbound internet traffic. Which solution meets this requirement?",B,B,Yes,Confident,No,"","A NAT gateway in a public subnet allows instances in private subnets to initiate outbound connections to the internet while preventing unsolicited inbound traffic. An internet gateway alone would make it a public subnet. Elastic IPs on private subnet instances don't provide internet routing without an IGW route.",6076
2,Design Secure Architectures,"A solutions architect is designing an application that requires users to authenticate before accessing content stored in S3. The company uses an external SAML 2.0 identity provider (IdP). Which approach should the architect use?",B,B,Yes,Somewhat Sure,No,"","Amazon Cognito identity pools (federated identities) can integrate with SAML 2.0 IdPs to provide temporary, limited-privilege AWS credentials. This avoids creating individual IAM users for external users and follows the principle of least privilege with temporary credentials.",6076
3,Design Secure Architectures,"An application running on EC2 instances needs to access an S3 bucket. The company's security policy prohibits storing long-term credentials on EC2 instances. What is the MOST secure way to grant access?",C,B,No,Somewhat Sure,No,"","IAM roles for EC2 (via instance profiles) provide temporary credentials that are automatically rotated. This eliminates the need to store long-term credentials. The credentials are delivered through the instance metadata service and are automatically refreshed.",6076
4,Design Secure Architectures,"A company wants to ensure that all data stored in Amazon S3 is encrypted at rest using keys that the company manages and rotates on its own schedule. Which encryption option should they use?",C,C,Yes,Confident,No,"","SSE-KMS with a customer managed key (CMK) allows the company to create, manage, and rotate encryption keys on their own schedule through AWS KMS. SSE-S3 uses Amazon-managed keys with no customer control over rotation. AWS managed KMS keys are rotated automatically by AWS, not on the customer's schedule.",6076
5,Design Secure Architectures,"A solutions architect needs to design a multi-tier architecture that prevents the web tier from directly accessing the database tier. The web tier is in a public subnet and the database tier is in a private subnet. What is the BEST approach?",B,B,Yes,Somewhat Sure,No,"","A three-tier architecture with separate subnets and security groups provides defense in depth. The application tier acts as an intermediary — its security group allows inbound from the web tier, and the database security group allows inbound only from the application tier. This prevents direct web-to-database communication.",6076
6,Design Secure Architectures,"A company is using AWS Organizations with multiple accounts. They need to ensure that no one can launch EC2 instances larger than m5.xlarge in any development account. What is the MOST efficient approach?",B,B,Yes,Somewhat Sure,No,"","Service Control Policies (SCPs) in AWS Organizations provide centralized guardrails across accounts. An SCP attached to the development OU applies to all accounts within it, preventing anyone — even account root users — from launching restricted instance types. This is more efficient than managing individual IAM policies per account.",6076
7,Design Secure Architectures,"A company wants to securely connect its on-premises data center to its AWS VPC. They require encrypted traffic and need a consistent network experience with low jitter for a real-time trading application. Which solution meets these requirements?",A,C,No,Confident,No,"","Direct Connect provides consistent, low-latency connectivity (solving the low-jitter requirement), and adding a Site-to-Site VPN over the Direct Connect connection provides IPsec encryption for the traffic. Direct Connect alone does not encrypt traffic, and a VPN over the public internet cannot guarantee low jitter.",6076
8,Design Secure Architectures,"A solutions architect needs to allow an AWS Lambda function in VPC A (10.0.0.0/16) to access an Amazon RDS database in VPC B (10.1.0.0/16). Both VPCs are in the same region and account. The CIDRs do not overlap. What is the simplest solution?",B,B,Yes,Somewhat Sure,No,"","VPC peering is the simplest and most cost-effective way to connect two VPCs in the same region when CIDRs don't overlap. You create the peering connection and add routes in each VPC's route tables. Transit Gateway is more suitable for connecting many VPCs. Moving the Lambda would work but isn't as clean architecturally.",6076
9,Design Secure Architectures,"A company stores sensitive customer PII in an S3 bucket. They need an automated solution to detect and alert when PII is found in newly uploaded objects. Which AWS service should they use?",C,C,Yes,Confident,No,"","Amazon Macie uses machine learning and pattern matching to discover and protect sensitive data stored in S3, including PII. It can automatically scan new objects and generate findings/alerts. GuardDuty focuses on threat detection, Inspector on vulnerability assessment for EC2/containers, and Config on resource configuration compliance.",6076
10,Design Secure Architectures,"An application needs to store database credentials and automatically rotate them every 30 days. The credentials must be encrypted at rest and the rotation process must be automated. Which service is BEST suited?",D,B,No,,Yes,"idk","AWS Secrets Manager is specifically designed for managing secrets like database credentials. It supports built-in automatic rotation with Lambda functions (including pre-built rotation functions for RDS, Redshift, and DocumentDB). Parameter Store SecureString can store encrypted values but doesn't have built-in automatic rotation.",6076
